"Class","Method","URI","User-Role"
"Valid","GET","/jwt-token/","user"
"Valid","GET","/jwt-token/info-disclosure/","user"
"Valid","GET","/jwt-token/jwt-none/","user"
"Valid","GET","/jwt-token/jwt-signing-algo/","user"
"Valid","GET","/jwt-token/jwt-logout/","user"
"Valid","GET","/jwt-token/crack-jwt/","user"
"Valid","GET","/api/v1/books/","user"
"Valid","GET","/api/v1/exams/","user"
"Valid","GET","/api/v1/articles/","user"
"Valid","GET","/api/v1/approve-article/","admin"
"Valid","POST","/api/v1/trains/","user"
"Valid","POST","/api/v1/activities/","user"
"Valid","GET","api/v1/advertisements/","admin"
"Valid","POST","api/v1/advertisements/","admin"
"Valid","POST","/api/v1/get-jwt-token-hs256/","user"
"Valid","POST","/api/v1/get-jwt-token-rs256/","user"
"Valid","GET","/api/v1/joker-plan/","user"
"Valid","POST","/api/v1/obtain-jwt-token-hs256/","user"
"Valid","POST","/api/v1/obtain-jwt-token-rs256/","user"
"Valid","GET","/api/v1/joker-master-plan/","user"
"Valid","GET","/api/v1/logout/","user"
"Valid","GET","/api/v1/secure-logout/","admin"